"make";"model";"car";"year";"Body";"Odometer";"Transmission";"price";"URL";"state";"adType"
"MAZDA";"2";"2011 Mazda 2 Maxx DE Series 1 Manual";2011;"Hatch";64462;"Manual";12500;"http://www.carsales.com.au/dealer/details/Mazda-2-2011/OAG-AD-14524871/?Cr=51";"VIC";"Used Car"
"MAZDA";"CX-7";"2009 Mazda CX-7 Luxury Sports ER Series 2 Auto 4WD";2009;"SUV";115000;"Automatic";14750;"http://www.carsales.com.au/private/details/Mazda-CX-7-2009/SSE-AD-4627793/?Cr=52";"VIC";"Private Seller Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Manual";2011;"Hatch";87799;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14500204/?Cr=53";"NSW";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Manual";2011;"Sedan";75737;"Manual";11988;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14537344/?Cr=55";"WA";"Used Car"
"MAZDA";"2";"2012 Mazda 2 Neo DE Series 2 Manual";2012;"Hatch";47000;"Manual";9990;"http://www.carsales.com.au/private/details/Mazda-2-2012/SSE-AD-4659773/?Cr=56";"NSW";"Private Seller Car"
"MAZDA";"2";"2008 Mazda 2 Neo DE Series 1 Auto";2008;"Hatch";125015;"Automatic";10990;"http://www.carsales.com.au/dealer/details/Mazda-2-2008/OAG-AD-14356992/?Cr=57";"NSW";"Used Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Manual";2010;"Hatch";78270;"Manual";10950;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14403872/?Cr=58";"VIC";"Used Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";137719;"Automatic";11290;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14433683/?Cr=59";"QLD";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx Sport BL Series 1 Manual";2011;"Sedan";93800;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14393155/?Cr=60";"NSW";"Used Car"
"MAZDA";"2";"2007 Mazda 2 Genki DE Series 1 Manual";2007;"Hatch";57498;"Manual";9999;"http://www.carsales.com.au/dealer/details/Mazda-2-2007/OAG-AD-14570514/?Cr=61";"NSW";"Used Car"
"MAZDA";"3";"2007 Mazda 3 Neo BK Series 2 Auto";2007;"Sedan";132528;"Automatic";7488;"http://www.carsales.com.au/dealer/details/Mazda-3-2007/OAG-AD-14487972/?Cr=62";"NSW";"Used Car"
"MAZDA";"6";"2009 Mazda 6 Luxury Sports GH Series 1 Auto";2009;"Hatch";105309;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-6-2009/OAG-AD-14561599/?Cr=63";"NSW";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 1 Auto";2011;"Hatch";86000;"Automatic";13990;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-2086972/?Cr=65";"NSW";"Private Seller Car"
"MAZDA";"CX-7";"2007 Mazda CX-7 Classic ER Series 1 Auto 4WD";2007;"SUV";140227;"Automatic";13850;"http://www.carsales.com.au/dealer/details/Mazda-CX-7-2007/OAG-AD-12731646/?Cr=66";"VIC";"Used Car"
"MAZDA";"3";"2006 Mazda 3 SP23 BK Series 2 Auto";2006;"Hatch";66899;"Automatic";10888;"http://www.carsales.com.au/dealer/details/Mazda-3-2006/OAG-AD-14548232/?Cr=67";"NSW";"Used Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Auto";2012;"Hatch";65244;"Automatic";14999;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14354062/?Cr=68";"SA";"Used Car"
"MAZDA";"6";"2003 Mazda 6 Classic GG Series 1 Auto";2003;"Sedan";118769;"Automatic";6888;"http://www.carsales.com.au/dealer/details/Mazda-6-2003/OAG-AD-14468875/?Cr=69";"NSW";"Used Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Manual";2009;"Sedan";128447;"Manual";11489;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14241018/?Cr=71";"WA";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Hatch";78451;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14455607/?Cr=25";"WA";"Used Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";98072;"Automatic";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14451083/?Cr=26";"NSW";"Used Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Manual";2012;"Sedan";120845;"Manual";10926;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14033311/?gts=OAG-AD-14033311&gtssaleid=OAG-AD-14033311&Cr=60&rankingType=";"SA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx Sport BL Series 1 Manual";2011;"Sedan";93800;"Manual";13990;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14393155/?Cr=61";"NSW";"Used Car"
"MAZDA";"2";"2007 Mazda 2 Genki DE Series 1 Manual";2007;"Hatch";57498;"Manual";9999;"http://www.carsales.com.au/dealer/details/Mazda-2-2007/OAG-AD-14570514/?Cr=62";"NSW";"Used Car"
"MAZDA";"3";"2007 Mazda 3 Neo BK Series 2 Auto";2007;"Sedan";132528;"Automatic";7488;"http://www.carsales.com.au/dealer/details/Mazda-3-2007/OAG-AD-14487972/?Cr=63";"NSW";"Used Car"
"MAZDA";"6";"2009 Mazda 6 Luxury Sports GH Series 1 Auto";2009;"Hatch";105309;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-6-2009/OAG-AD-14561599/?Cr=64";"NSW";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 1 Auto";2011;"Hatch";86000;"Automatic";13990;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-2086972/?Cr=66";"NSW";"Private Seller Car"
"MAZDA";"CX-7";"2007 Mazda CX-7 Classic ER Series 1 Auto 4WD";2007;"SUV";140227;"Automatic";13850;"http://www.carsales.com.au/dealer/details/Mazda-CX-7-2007/OAG-AD-12731646/?Cr=67";"VIC";"Used Car"
"MAZDA";"3";"2006 Mazda 3 SP23 BK Series 2 Auto";2006;"Hatch";66899;"Automatic";10888;"http://www.carsales.com.au/dealer/details/Mazda-3-2006/OAG-AD-14548232/?Cr=68";"NSW";"Used Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Auto";2012;"Hatch";65244;"Automatic";14999;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14354062/?Cr=69";"SA";"Used Car"
"MAZDA";"6";"2003 Mazda 6 Classic GG Series 1 Auto";2003;"Sedan";118769;"Automatic";6888;"http://www.carsales.com.au/dealer/details/Mazda-6-2003/OAG-AD-14468875/?Cr=70";"NSW";"Used Car"
"MAZDA";"3";"2009 Mazda 3 SP25 BL Series 1 Manual";2009;"Sedan";128447;"Manual";11489;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14241018/?Cr=72";"WA";"Used Car"
"MAZDA";"3";"2008 Mazda 3 SP23 BK Series 2 Manual";2008;"Sedan";116059;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14408012/?Cr=73";"NSW";"Used Car"
"MAZDA";"2";"2002 Mazda 2 Neo DY Series 1 Auto";2002;"Hatch";151011;"Automatic";5990;"http://www.carsales.com.au/dealer/details/Mazda-2-2002/OAG-AD-14467613/?Cr=74";"VIC";"Used Car"
"MAZDA";"3";"2011 Mazda 3 SP25 BL Series 2 Manual";2011;"Sedan";59895;"Manual";14999;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-4590505/?Cr=75";"WA";"Private Seller Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Auto";2012;"Hatch";54000;"Automatic";14925;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14539827/?Cr=76";"SA";"Used Car"
"MAZDA";"6";"2008 Mazda 6 Luxury Sports GH Series 1 Auto";2008;"Hatch";158043;"Automatic";12990;"http://www.carsales.com.au/dealer/details/Mazda-6-2008/OAG-AD-14513872/?Cr=77";"VIC";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Neo BL Series 2 Auto";2011;"Sedan";64603;"Automatic";14888;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-14495773/?Cr=78";"VIC";"Used Car"
"MAZDA";"3";"2013 Mazda 3 Neo BL Series 2 Auto";2013;"Hatch";54146;"Automatic";14673;"http://www.carsales.com.au/dealer/details/Mazda-3-2013/OAG-AD-14567927/?Cr=79";"WA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 Maxx Sport BL Series 2 Manual";2011;"Hatch";101000;"Manual";12900;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-4659906/?Cr=80";"NSW";"Private Seller Car"
"MAZDA";"3";"2010 Mazda 3 Neo BL Series 1 Auto";2010;"Sedan";126688;"Automatic";12940;"http://www.carsales.com.au/dealer/details/Mazda-3-2010/OAG-AD-14425391/?Cr=81";"VIC";"Used Car"
"MAZDA";"3";"2009 Mazda 3 Neo Sport BK Series 2 Auto";2009;"Hatch";131920;"Automatic";11888;"http://www.carsales.com.au/dealer/details/Mazda-3-2009/OAG-AD-14440105/?Cr=82";"SA";"Used Car"
"MAZDA";"3";"2011 Mazda 3 SP25 BL Series 1 Manual";2011;"Sedan";145579;"Manual";9999;"http://www.carsales.com.au/dealer/details/Mazda-3-2011/OAG-AD-13957993/?Cr=83";"VIC";"Used Car"
"MAZDA";"3";"2008 Mazda 3 SP23 BK Series 2 Manual";2008;"Sedan";116059;"Manual";9990;"http://www.carsales.com.au/dealer/details/Mazda-3-2008/OAG-AD-14408012/?Cr=72";"NSW";"Used Car"
"MAZDA";"2";"2002 Mazda 2 Neo DY Series 1 Auto";2002;"Hatch";151011;"Automatic";5990;"http://www.carsales.com.au/dealer/details/Mazda-2-2002/OAG-AD-14467613/?Cr=73";"VIC";"Used Car"
"MAZDA";"3";"2011 Mazda 3 SP25 BL Series 2 Manual";2011;"Sedan";59895;"Manual";14999;"http://www.carsales.com.au/private/details/Mazda-3-2011/SSE-AD-4590505/?Cr=74";"WA";"Private Seller Car"
"MAZDA";"3";"2012 Mazda 3 Neo BL Series 2 Auto";2012;"Hatch";54000;"Automatic";14925;"http://www.carsales.com.au/dealer/details/Mazda-3-2012/OAG-AD-14539827/?Cr=75";"SA";"Used Car"
"MAZDA";"6";"2008 Mazda 6 Luxury Sports GH Series 1 Auto";2008;"Hatch";158043;"Automatic";12990;"http://www.carsales.com.au/dealer/details/Mazda-6-2008/OAG-AD-14513872/?Cr=76";"VIC";"Used Car"
